title,imdbid,genres
How to Marry a Millionaire,45891,Romance
Pickup on South Street,46187,Crime
Pickup on South Street,46187,Thriller
Pickup on South Street,46187,Romance
Monsieur Hulot's Holiday,46487,Comedy
Summer with Monika,46345,Drama
Summer with Monika,46345,Romance
The Earrings of Madame de...,46022,Drama
The Earrings of Madame de...,46022,Romance
House of Wax,45888,Horror
House of Wax,45888,Mystery
Seven Brides for Seven Brothers,47472,Comedy
Seven Brides for Seven Brothers,47472,Drama
Seven Brides for Seven Brothers,47472,Western
White Christmas,47673,Comedy
White Christmas,47673,Music
White Christmas,47673,Romance
Rear Window,47396,Thriller
Rear Window,47396,Mystery
Sabrina,47437,Comedy
Sabrina,47437,Drama
Sabrina,47437,Romance
Hobson's Choice,47094,Comedy
Hobson's Choice,47094,Drama
Journey to Italy,46511,Drama
Journey to Italy,46511,Romance
Three Coins in the Fountain,47580,Drama
Late Chrysanthemums,46750,Drama
Salt of the Earth,47443,History
Salt of the Earth,47443,Drama
Woman of Rumor,47638,Romance
Woman of Rumor,47638,Drama
Carmen Jones,46828,Drama
Carmen Jones,46828,Romance
Poverty and Nobility,47238,Comedy
Jail Bait,47127,Action
Jail Bait,47127,Crime
Jail Bait,47127,Thriller
To Catch a Thief,48728,Crime
To Catch a Thief,48728,Drama
To Catch a Thief,48728,Mystery
To Catch a Thief,48728,Romance
To Catch a Thief,48728,Thriller
The Night of the Hunter,48424,Crime
The Night of the Hunter,48424,Drama
The Night of the Hunter,48424,Thriller
Daddy Long Legs,47969,Drama
Daddy Long Legs,47969,Music
Daddy Long Legs,47969,Romance
The Ladykillers,48281,Comedy
The Ladykillers,48281,Crime
Guys and Dolls,48140,Comedy
Guys and Dolls,48140,Crime
Guys and Dolls,48140,Romance
Diabolique,46911,Drama
Diabolique,46911,Horror
Diabolique,46911,Thriller
The Fast and the Furious,46969,Action
The Fast and the Furious,46969,Crime
The Fast and the Furious,46969,Drama
We're No Angels,48801,Comedy
We're No Angels,48801,Crime
We're No Angels,48801,Romance
Bride of the Monster,47898,Horror
Bride of the Monster,47898,Science Fiction
Marty,48356,Drama
Marty,48356,Romance
Oklahoma!,48445,Western
Oklahoma!,48445,Music
Oklahoma!,48445,Romance
Summertime,48673,Drama
Summertime,48673,Romance
Pather Panchali,48473,Drama
The Glass Slipper,48124,Fantasy
The Glass Slipper,48124,Romance
The Glass Slipper,48124,Music
My Sister Eileen,48401,Comedy
My Sister Eileen,48401,Music
The Prodigal,48517,Drama
The Grand Manoeuvre,48133,Comedy
The Grand Manoeuvre,48133,Romance
The Bad Seed,48977,Thriller
The Bad Seed,48977,Mystery
The Bad Seed,48977,Horror
The Bad Seed,48977,Drama
Gunslinger,49287,Action
Gunslinger,49287,Romance
Gunslinger,49287,Western
Invasion of the Body Snatchers,49366,Horror
Invasion of the Body Snatchers,49366,Science Fiction
War and Peace,49934,Drama
War and Peace,49934,War
War and Peace,49934,Romance
War and Peace,49934,History
...And God Created Woman,49189,Drama
...And God Created Woman,49189,Romance
Bus Stop,49038,Drama
Bus Stop,49038,Romance
Bus Stop,49038,Comedy
Aparajito,48956,Drama
The Man Who Never Was,49471,Thriller
The Man Who Never Was,49471,War
The Man Who Never Was,49471,Drama
The Man Who Never Was,49471,History
High Society,49314,Comedy
High Society,49314,Music
High Society,49314,Romance
Main Street,49043,Drama
Flowing,49537,Drama
Sissi: The Young Empress,49762,Drama
Sissi: The Young Empress,49762,Comedy
Sissi: The Young Empress,49762,Romance
Fool's Mate,49095,Comedy
Fool's Mate,49095,Romance
Desk Set,50307,Comedy
Desk Set,50307,Romance
The Cranes Are Flying,50634,Drama
The Cranes Are Flying,50634,Romance
The Cranes Are Flying,50634,War
Funny Face,50419,Music
Funny Face,50419,Comedy
Funny Face,50419,Romance
Nights of Cabiria,50783,Drama
Night of the Demon,50766,Fantasy
Night of the Demon,50766,Horror
Night of the Demon,50766,Mystery
Night of the Demon,50766,Thriller
Tammy and the Bachelor,51051,Comedy
Tammy and the Bachelor,51051,Romance
The Prince and the Showgirl,50861,Comedy
The Prince and the Showgirl,50861,Romance
The Mysterians,50251,Science Fiction
The Mysterians,50251,Action
The Mysterians,50251,Drama
The Mysterians,50251,Thriller
The Mysterians,50251,War
Island in the Sun,50549,Drama
Island in the Sun,50549,Romance
Girls in Uniform,51964,Drama
Dracula,51554,Horror
The Wild Women of Wongo,52394,Adventure
The Wild Women of Wongo,52394,Comedy
The Wild Women of Wongo,52394,Fantasy
Mon Oncle,50706,Comedy
Auntie Mame,51383,Comedy
Auntie Mame,51383,Drama
Auntie Mame,51383,Romance
Separate Tables,52182,Drama
Separate Tables,52182,Romance
South Pacific,52225,Music
South Pacific,52225,Romance
South Pacific,52225,War
Indiscreet,51773,Comedy
Indiscreet,51773,Romance
The Inn of the Sixth Happiness,51776,War
The Inn of the Sixth Happiness,51776,Drama
Cat on a Hot Tin Roof,51459,Drama
Cat on a Hot Tin Roof,51459,Romance
Love Is My Profession,51579,Romance
Love Is My Profession,51579,Drama
Love Is My Profession,51579,Crime
Brink of Life,52017,Drama
I Want to Live!,51758,Crime
I Want to Live!,51758,Drama
Sleeping Beauty,53285,Fantasy
Sleeping Beauty,53285,Animation
Sleeping Beauty,53285,Romance
Sleeping Beauty,53285,Family
Sleeping Beauty,53285,Fantasy
Sleeping Beauty,53285,Animation
Sleeping Beauty,53285,Romance
Sleeping Beauty,53285,Family
Ben-Hur,52618,Action
Ben-Hur,52618,Drama
Ben-Hur,52618,History
The Nun's Story,53131,Drama
The Nun's Story,53131,War
Darby O'Gill and the Little People,52722,Adventure
Darby O'Gill and the Little People,52722,Family
Darby O'Gill and the Little People,52722,Fantasy
Darby O'Gill and the Little People,52722,Romance
Some Like It Hot,53291,Comedy
Some Like It Hot,53291,Music
Some Like It Hot,53291,Romance
Some Like It Hot,53291,Crime
Imitation of Life,52918,Drama
Imitation of Life,52918,Romance
"Suddenly, Last Summer",53318,Thriller
"Suddenly, Last Summer",53318,Drama
"Suddenly, Last Summer",53318,Mystery
The Giant Gila Monster,52846,Horror
The Giant Gila Monster,52846,Science Fiction
Araya,51372,Documentary
Come Dance with Me!,53428,Drama
Come Dance with Me!,53428,Crime
Come Dance with Me!,53428,Mystery
Good Morning,53134,Comedy
Good Morning,53134,Family
Good Morning,53134,Drama
Ghost of Dragstrip Hollow,52844,Comedy
Ghost of Dragstrip Hollow,52844,Horror
House on Haunted Hill,51744,Horror
House on Haunted Hill,51744,Crime
House on Haunted Hill,51744,Mystery
The Wasp Woman,54462,Horror
The Wasp Woman,54462,Science Fiction
The Bat,52602,Horror
The Bat,52602,Mystery
The Bat,52602,Thriller
Gidget,52847,Comedy
Gidget,52847,Romance
Pillow Talk,53172,Comedy
Pillow Talk,53172,Romance
The Bridge,52654,Drama
The Bridge,52654,History
The Bridge,52654,War
Eyes Without a Face,53459,Drama
Eyes Without a Face,53459,Horror
Eyes Without a Face,53459,Thriller
Inherit the Wind,53946,Drama
Inherit the Wind,53946,History
The Apartment,53604,Comedy
The Apartment,53604,Drama
The Apartment,53604,Romance
Psycho,54215,Horror
Psycho,54215,Drama
Psycho,54215,Thriller
Exodus,53804,History
Exodus,53804,War
Exodus,53804,Action
Late Autumn,53579,Drama
Horrors of Spider Island,54333,Horror
Black Sunday,54067,Horror
Jigoku,154683,Horror
Jigoku,154683,Drama
The City of the Dead,53719,Mystery
The City of the Dead,53719,Horror
Zazie dans le Métro,54494,Comedy
Zazie dans le Métro,54494,Fantasy
Make Mine Mink,54049,Comedy
La Vérité,54452,Drama
The Story of Ruth,54343,Drama
The Virgin Spring,53976,Crime
The Virgin Spring,53976,Drama
The Virgin Spring,53976,Thriller
Wild River,54476,Drama
Wild River,54476,Romance
Two Women,54749,Drama
Two Women,54749,War
The Brides of Dracula,53677,Horror
The Good Girls,53666,Mystery
The Good Girls,53666,Drama
The Good Girls,53666,Romance
The Children's Hour,54743,Drama
The Children's Hour,54743,Romance
Underworld U.S.A.,55571,Crime
Underworld U.S.A.,55571,Drama
Underworld U.S.A.,55571,Thriller
One Hundred and One Dalmatians,55254,Adventure
One Hundred and One Dalmatians,55254,Animation
One Hundred and One Dalmatians,55254,Comedy
One Hundred and One Dalmatians,55254,Family
The Misfits,55184,Western
The Misfits,55184,Drama
The Misfits,55184,Action
The Misfits,55184,Romance
"One, Two, Three",55256,Comedy
West Side Story,55614,Crime
West Side Story,55614,Drama
West Side Story,55614,Romance
Blue Hawaii,54692,Comedy
Blue Hawaii,54692,Music
Paris Blues,55278,Romance
Paris Blues,55278,Drama
Paris Blues,55278,Music
Splendor in the Grass,55471,Drama
Splendor in the Grass,55471,Romance
A Taste of Honey,55506,Drama
The Parent Trap,55277,Comedy
The Parent Trap,55277,Family
A Raisin in the Sun,55353,Drama
A Raisin in the Sun,55353,Romance
Snow White and the Three Stooges,55458,Adventure
Snow White and the Three Stooges,55458,Comedy
Snow White and the Three Stooges,55458,Drama
Snow White and the Three Stooges,55458,Family
